Name,Yrs,From,To,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,WAR,Birthdate,Debut,Birthplace,Pos
Ramón Monzant,6,1954,1960,0,110,96,89,9,14,0,0,0,2,0,0,3,26,.157,.183,.157,.340,0.96,"Jan 4, 1933","Jul 2, 1954","Maracaibo, Zulia",1/H
Melvin Mora,13,1999,2011,2,1556,6158,5422,794,1503,283,19,171,754,93,55,520,953,.277,.350,.431,.781,28.24,"Feb 2, 1972","May 30, 1999","Agua Negra, Yaracuy",*5678H4/93D
Francisco Morales,1,2022,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.12,"Oct 27, 1999","May 9, 2022","San Juan de los Morros, Guarico",/1
Franklin Morales,10,2007,2016,0,149,74,62,4,11,0,0,0,2,0,0,4,27,.177,.227,.177,.405,1.92,"Jan 24, 1986","Aug 18, 2007","San Juan de los Morros, Guarico",*1
Osmer Morales,1,2018,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.06,"Oct 30, 1992","Aug 16, 2018","Villa de Cura, Aragua",/1
Diego Moreno,2,2015,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.13,"Jul 21, 1987","Jun 22, 2015","Higuerote, Miranda",/1
Edwin Moreno,1,2009,2009,0,17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.12,"Jul 30, 1980","Apr 7, 2009","El Mojan, Zulia",/1
Gabriel Moreno,3,2022,2024,0,186,626,563,61,156,28,2,9,76,6,3,51,112,.277,.337,.382,.719,5.49,"Feb 14, 2000","Jun 11, 2022","Barquisimeto, Lara",2/HD457
Juan Moreno,2,2001,2002,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.43,"Feb 28, 1975","May 17, 2001","Maiquetia, La Guaira",1
Orber Moreno,3,1999,2004,0,39,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0.15,"Apr 27, 1977","May 25, 1999","Caracas, Distrito Federal",1
Guillermo Moscoso,5,2009,2013,0,33,18,15,0,2,1,0,0,1,0,0,0,8,.133,.133,.200,.333,1.90,"Nov 14, 1983","May 30, 2009","Maracay, Aragua",1
Gabriel Moya,2,2017,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.17,"Jan 9, 1995","Sep 12, 2017","Cabimas, Zulia",1
Edward Mujica,11,2006,2017,1,320,13,11,1,2,0,0,0,0,0,0,0,4,.182,.182,.182,.364,3.85,"May 10, 1984","Jun 21, 2006","Valencia, Carabobo",*1
José Mujica,1,2020,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.45,"Jun 29, 1996","Sep 8, 2020","Valencia, Carabobo",/1
Símon Muzziotti,1,2022,2022,0,9,9,7,0,1,0,0,0,0,0,0,0,2,.143,.250,.143,.393,-0.05,"Dec 27, 1998","Apr 11, 2022","Cumana, Sucre",/8H
Omar Narváez,9,2016,2024,1,677,2298,2016,228,507,83,2,53,203,0,2,240,435,.251,.334,.374,.708,6.21,"Feb 10, 1992","Jul 17, 2016","Maracay, Aragua",*2HD/43
Dioner Navarro,13,2004,2016,1,1009,3551,3207,322,802,142,6,77,367,14,12,265,518,.250,.309,.370,.679,7.05,"Feb 9, 1984","Sep 7, 2004","Caracas, Distrito Federal",*2HD
Edgar Navarro,1,2023,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.09,"Feb 5, 1998","Jul 30, 2023","Ciudad Bolivar, Bolivar",/1
Oswaldo Navarro,2,2006,2010,0,18,29,23,2,3,0,0,0,0,0,0,5,5,.130,.286,.130,.416,-0.03,"Oct 2, 1984","Sep 9, 2006","Villa de Cura, Aragua",/6HD
Ángel Nesbitt,1,2015,2015,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.39,"Dec 4, 1990","Apr 8, 2015","Maracay, Aragua",/1
Fernando Nieve,4,2006,2010,0,94,35,28,0,5,0,0,0,2,0,0,2,11,.179,.233,.179,.412,1.01,"Jul 15, 1982","Apr 4, 2006","Puerto Cabello, Carabobo",1
José Nieves,5,1998,2002,0,212,573,530,55,128,20,5,9,51,2,5,23,102,.242,.278,.349,.627,-1.57,"Jun 16, 1975","Aug 7, 1998","Guacara, Carabobo",6H54/D389
Renato Núñez,6,2016,2021,0,307,1162,1055,137,258,51,0,56,154,1,1,82,296,.245,.308,.452,.760,2.03,"Apr 4, 1994","Sep 12, 2016","Valencia, Carabobo",D53/H7
Iván Ochoa,1,2008,2008,0,47,135,120,7,24,8,0,0,3,0,1,4,28,.200,.244,.267,.511,-0.99,"Dec 16, 1982","Jul 12, 2008","Guacara, Carabobo",6/4H
Rougned Odor,10,2014,2023,0,1154,4424,4044,541,930,186,29,178,568,70,52,269,1045,.230,.288,.422,.710,6.33,"Feb 3, 1994","May 8, 2014","Maracaibo, Zulia",*4H5/D93
Edward Olivares,5,2020,2024,0,268,906,833,112,215,39,5,29,92,16,12,52,173,.258,.309,.421,.731,-0.31,"Mar 6, 1996","Jul 25, 2020","Caracas, Distrito Federal",79DH/8
Lester Oliveros,3,2011,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.07,"May 28, 1988","Jul 1, 2011","Maracay, Aragua",/1
Ray Olmedo,6,2003,2012,0,218,484,444,53,102,18,2,2,27,6,1,26,90,.230,.273,.293,.566,-1.65,"May 31, 1981","May 25, 2003","Maracay, Aragua",6H4/5D9
Luis Ordaz,7,1997,2006,0,206,496,440,51,96,13,0,0,30,12,5,34,53,.218,.274,.248,.522,-2.47,"Aug 12, 1975","Sep 3, 1997","Maracaibo, Zulia",64/H5D
Magglio Ordóñez,15,1997,2011,6,1848,7745,6978,1076,2156,426,21,294,1236,94,50,651,852,.309,.369,.502,.871,38.79,"Jan 28, 1974","Aug 29, 1997","Caracas, Distrito Federal",*9DH/8
Anthony Ortega,1,2009,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.55,"Aug 24, 1985","Apr 25, 2009","Ocumare del Tuy, Miranda",/1
José Ortega,3,2012,2014,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.02,"Oct 12, 1988","Jun 8, 2012","Caja Seca, Zulia",/1
Rafael Ortega,8,2012,2024,0,425,1301,1150,140,282,45,4,22,110,49,19,128,251,.245,.322,.349,.671,0.93,"May 15, 1991","Sep 30, 2012","El Tigre, Anzoategui",87H9/D
Joe Ortiz,1,2013,2013,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.33,"Aug 13, 1990","Mar 31, 2013","Caracas, Distrito Federal",1
José Osuna,4,2017,2020,0,276,705,660,92,159,45,4,24,88,0,1,34,126,.241,.280,.430,.710,-0.82,"Dec 12, 1992","Apr 18, 2017","Trujillo, Trujillo",H395/7D1
Luis Oviedo,1,2021,2021,0,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.93,"May 15, 1999","Apr 3, 2021","Barquisimeto, Lara",/1
Alex Pacheco,1,1996,1996,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.26,"Jul 19, 1973","Apr 17, 1996","Caracas, Distrito Federal",/1
Pedro Pagés,1,2024,2024,0,11,25,20,1,1,1,0,0,4,0,0,4,8,.050,.200,.100,.300,-0.31,"Sep 17, 1998","Apr 7, 2024","Maracay, Aragua",/23H
Jermaine Palacios,1,2022,2022,0,30,77,70,8,10,0,0,2,6,0,0,4,27,.143,.184,.229,.413,-0.56,"Jul 19, 1996","May 31, 2022","Barquisimeto, Lara",/64H135
Daniel Palencia,2,2023,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.04,"Feb 5, 2000","Jul 4, 2023","San Carlos, Cojedes",1
Eduardo Paredes,2,2017,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.21,"Mar 6, 1995","Jun 23, 2017","Valera, Trujillo",1
Johnny Paredes,3,1988,1991,0,60,138,123,12,26,3,0,1,11,6,3,11,18,.211,.292,.260,.552,-0.28,"Sep 2, 1962","Apr 29, 1988","Maracaibo, Zulia",4/HD596
Gerardo Parra,12,2009,2021,0,1519,5290,4858,633,1335,269,42,90,532,97,55,318,920,.275,.322,.403,.725,10.83,"May 6, 1987","May 13, 2009","Santa Barbara, Zulia",*7*9H83/45D1
Al Pedrique,3,1987,1989,0,174,489,449,32,111,18,1,1,36,5,4,29,61,.247,.298,.298,.597,0.82,"Aug 11, 1960","Apr 14, 1987","Valencia, Carabobo",6/5H4
David Peralta,11,2014,2024,0,1151,4351,3972,492,1106,227,48,117,542,37,16,315,844,.278,.334,.448,.782,15.30,"Aug 14, 1987","Jun 1, 2014","Valencia, Carabobo",*79HD/81
José Peraza,7,2015,2021,0,618,2159,2011,234,534,82,14,35,182,79,31,89,282,.266,.306,.372,.679,0.79,"Apr 30, 1994","Aug 10, 2015","Barinas, Barinas",64H7/85D19
Oswald Peraza,2,2022,2023,0,70,248,222,23,48,11,0,3,16,6,3,19,59,.216,.298,.306,.605,-0.21,"Jun 15, 2000","Sep 2, 2022","Barquisimeto, Lara",5/64HD
Oswaldo Peraza,1,1988,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-1.08,"Oct 19, 1962","Apr 4, 1988","Puerto Cabello, Carabobo",/1
Jhonny Pereda,1,2024,2024,0,5,5,5,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-0.21,"Apr 18, 1996","Apr 17, 2024","San Juan, Aragua",/2
Everson Pereira,1,2023,2023,0,27,103,93,6,14,4,0,0,10,4,0,8,40,.151,.233,.194,.427,-0.61,"Apr 10, 2001","Aug 22, 2023","Cabudare, Lara",/7
Carlos Pérez,5,2015,2023,0,278,859,786,64,171,35,0,17,78,4,0,47,165,.218,.265,.327,.592,1.55,"Oct 27, 1990","May 5, 2015","Valencia, Carabobo",2H/3D17
Carlos Pérez,2,2022,2023,0,34,71,67,5,14,6,0,1,5,0,0,4,13,.209,.254,.343,.597,-0.26,"Sep 10, 1996","Aug 26, 2022","Valencia, Carabobo",/2HD
Eddie Pérez,11,1995,2005,0,564,1651,1525,137,386,85,2,40,172,1,4,84,234,.253,.297,.390,.687,1.82,"May 4, 1968","Sep 10, 1995","Ciudad Ojeda, Zulia",*2H/3D
Hernán Pérez,10,2012,2021,0,651,1846,1745,192,436,74,11,45,180,69,16,76,397,.250,.280,.382,.662,2.31,"Mar 26, 1991","Jun 9, 2012","Villa de Cura, Aragua",54H9763/81D
Martín Pérez,13,2012,2024,1,16,28,26,1,1,0,0,0,0,0,0,0,22,.038,.038,.038,.077,13.54,"Apr 4, 1991","Jun 27, 2012","Guanare, Portuguesa",1
Miguel Pérez,1,2005,2005,0,2,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-0.06,"Sep 25, 1983","Sep 7, 2005","Caracas, Distrito Federal",/H2
Robert Pérez,6,1994,2001,0,221,516,497,49,126,19,1,8,44,3,1,11,74,.254,.271,.344,.616,-2.58,"Jun 4, 1969","Jul 20, 1994","Ciudad Bolivar, Bolivar",7H9/D8
Salvador Perez,13,2011,2024,8,1454,5854,5509,622,1480,272,11,256,853,6,1,217,1088,.269,.304,.461,.765,35.15,"May 10, 1990","Aug 10, 2011","Valencia, Carabobo",*2D3/H
Tomás Pérez,12,1995,2008,0,789,2074,1896,205,455,96,13,24,180,6,7,131,341,.240,.290,.342,.633,-0.22,"Dec 29, 1973","May 3, 1995","Barquisimeto, Lara",46H53/971
Williams Pérez,2,2015,2016,0,32,53,45,2,2,0,0,0,0,0,0,2,18,.044,.085,.044,.130,-0.74,"May 21, 1991","May 8, 2015","Acarigua, Portuguesa",1
Roberto Petagine,7,1994,2006,0,242,438,366,48,83,17,1,12,54,1,2,63,103,.227,.345,.377,.722,-0.01,"Jun 7, 1971","Apr 4, 1994","Porlamar, Nueva Esparta",3H/97D
Gregorio Petit,6,2008,2018,0,197,493,458,55,114,29,1,4,35,4,3,27,121,.249,.294,.343,.637,-0.08,"Dec 10, 1984","May 18, 2008","Ocumare del Tuy, Miranda",465H/D739
Yusmeiro Petit,14,2006,2021,0,205,129,119,6,6,0,0,0,3,0,0,3,49,.050,.074,.050,.124,8.59,"Nov 22, 1984","May 14, 2006","Maracaibo, Zulia",*1
Manny Piña,10,2011,2023,0,418,1255,1126,133,274,55,2,43,149,4,1,94,261,.243,.312,.410,.722,6.41,"Jun 5, 1987","Aug 3, 2011","Barquisimeto, Lara",*2H/D35
Israel Pineda,1,2022,2022,0,4,14,13,1,1,0,0,0,0,0,0,1,7,.077,.143,.077,.220,-0.15,"Apr 3, 2000","Sep 11, 2022","Maracay, Aragua",/2
Yohan Pino,2,2014,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.26,"Dec 26, 1983","Jun 19, 2014","Turmero, Aragua",/1
Josmil Pinto,3,2013,2016,0,84,286,250,36,63,13,0,11,30,0,1,31,76,.252,.336,.436,.772,0.90,"Mar 31, 1989","Sep 1, 2013","Valencia, Carabobo",2/DH
René Pinto,3,2022,2024,0,82,237,225,20,52,9,0,10,32,0,0,8,87,.231,.263,.404,.667,-0.17,"Nov 2, 1996","Apr 26, 2022","Maracay, Aragua",2/1
Renyel Pinto,5,2006,2010,0,234,9,6,0,0,0,0,0,0,0,0,1,4,.000,.143,.000,.143,3.30,"Jul 8, 1982","May 18, 2006","Cupira, Miranda",1
Ricardo Pinto,3,2017,2024,0,25,1,1,1,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-1.57,"Jan 20, 1994","May 31, 2017","Guacara, Carabobo",1/H
José Pirela,6,2014,2019,0,302,985,909,113,234,55,8,17,82,11,7,63,196,.257,.308,.392,.699,0.60,"Nov 21, 1989","Sep 22, 2014","Valera, Trujillo",47H/39D5
Gus Polidor,7,1985,1993,0,229,456,434,33,90,15,0,2,35,3,0,12,47,.207,.233,.256,.489,-1.52,"Oct 26, 1961","Sep 7, 1985","Caracas, Distrito Federal",654H/D9
Yohel Pozo,1,2021,2021,0,21,77,74,8,21,4,0,1,9,0,0,3,10,.284,.312,.378,.690,-0.09,"Jun 14, 1997","Aug 13, 2021","Maracaibo, Zulia",/D2H
Martín Prado,14,2006,2019,1,1458,5861,5373,664,1542,316,27,100,609,40,28,385,676,.287,.335,.412,.747,27.66,"Oct 27, 1983","Apr 23, 2006","Maracay, Aragua",*547H3/69D
Alex Prieto,2,2003,2004,0,24,47,43,5,9,1,0,1,4,0,1,3,13,.209,.255,.302,.558,-0.48,"Jun 19, 1976","Jul 26, 2003","Caracas, Distrito Federal",/4H56D
Carlos Pulido,3,1994,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.15,"Aug 5, 1971","Apr 9, 1994","Caracas, Distrito Federal",1
Juniel Querecuto,2,2016,2023,0,13,32,31,3,3,1,1,0,2,0,0,1,12,.097,.125,.194,.319,-0.27,"Sep 19, 1992","Sep 22, 2016","Barquisimeto, Lara",/543H6
Rubén Quevedo,4,2000,2003,0,64,109,98,5,15,0,0,0,5,0,0,2,44,.153,.170,.153,.323,-3.45,"Jan 5, 1979","Apr 14, 2000","Valencia, Carabobo",1
José Quijada,5,2019,2023,0,39,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0.01,"Nov 9, 1995","Apr 24, 2019","Caripito, Monagas",1
Carlos Quintana,5,1988,1993,0,438,1557,1376,163,380,59,1,19,165,3,2,153,207,.276,.350,.362,.711,2.69,"Aug 26, 1965","Sep 16, 1988","Mamporal, Miranda",*39H/D78
Humberto Quintero,12,2003,2014,0,471,1423,1346,95,315,61,2,20,127,1,3,47,294,.234,.267,.327,.594,1.80,"Aug 2, 1979","Sep 3, 2003","Maracaibo, Zulia",*2/H3
Guillermo Quiroz,10,2004,2014,0,148,380,346,24,69,18,0,3,34,1,0,22,85,.199,.256,.277,.533,-1.87,"Nov 29, 1981","Sep 4, 2004","Maracaibo, Zulia",2/HD
Alex Ramírez,3,1998,2000,0,135,350,332,38,86,17,3,12,48,3,1,15,78,.259,.293,.437,.730,-1.09,"Oct 3, 1974","Sep 19, 1998","Caracas, Distrito Federal",9H/7D83
Max Ramírez,2,2008,2010,0,45,140,115,16,25,4,0,4,17,0,0,18,37,.217,.343,.357,.699,0.29,"Oct 11, 1984","Jun 22, 2008","Barquisimeto, Lara",2/H3D
Ramón Ramírez,2,2008,2009,0,16,11,10,1,1,0,0,0,0,0,0,0,3,.100,.100,.100,.200,1.03,"Sep 16, 1982","Aug 30, 2008","Cagua, Aragua",/1
Chucho Ramos,1,1944,1944,0,4,10,10,1,5,1,0,0,0,0,1,0,0,.500,.500,.600,1.100,0.12,"Apr 12, 1918","May 7, 1944","Maturin, Monagas",/9H7
Edgar Ramos,1,1997,1997,0,4,4,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-0.15,"Mar 6, 1975","May 21, 1997","Cumana, Sucre",/1
Edubray Ramos,4,2016,2019,0,162,2,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,1.98,"Dec 19, 1992","Jun 24, 2016","Caracas, Distrito Federal",1
Wilson Ramos,12,2010,2021,2,990,3786,3492,362,946,151,2,136,534,1,3,245,638,.271,.318,.432,.750,15.23,"Aug 10, 1987","May 2, 2010","Valencia, Carabobo",*2H/D
Luis Rengifo,6,2019,2024,0,494,1833,1666,202,420,66,12,51,175,32,17,132,341,.252,.312,.398,.710,5.96,"Feb 26, 1997","Apr 25, 2019","Naguanagua, Carabobo",*456H9/78
René Reyes,2,2003,2004,0,81,189,177,18,39,9,1,2,8,2,1,10,36,.220,.261,.316,.577,-0.63,"Feb 21, 1978","Jul 22, 2003","Margarita, Nueva Esparta",/H987
Víctor Reyes,5,2018,2022,0,394,1280,1214,147,321,57,17,16,107,33,9,49,287,.264,.294,.379,.673,0.88,"Oct 5, 1994","Apr 1, 2018","Barcelona, Anzoategui",987HD
Juan Rincón,10,2001,2010,0,48,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,4.72,"Jan 23, 1979","Jun 7, 2001","Maracaibo, Zulia",*1
Leo Rivas,1,2024,2024,0,5,6,6,2,2,0,1,0,0,0,0,0,3,.333,.333,.667,1.000,0.14,"Oct 10, 1997","Apr 28, 2024","Maracay, Aragua",/H64D
Luis Rivas,8,2000,2008,0,648,2290,2101,286,541,92,29,34,201,81,25,126,316,.257,.303,.377,.681,-1.49,"Aug 30, 1979","Sep 16, 2000","La Guaira, La Guaira",*4H6/D5
Juan Rivera,12,2001,2012,0,1058,3787,3471,425,950,182,4,132,539,17,26,253,448,.274,.323,.443,.766,9.22,"Jul 3, 1978","Sep 4, 2001","Guarenas, Miranda",*79H3D8/4
Carlos Rivero,1,2014,2014,0,4,8,7,1,4,2,0,1,3,0,0,1,0,.571,.625,1.286,1.911,0.10,"May 20, 1988","Aug 29, 2014","Barquisimeto, Lara",/5HD
Sebastián Rivero,2,2021,2022,0,34,73,66,3,11,2,0,0,4,0,0,5,25,.167,.236,.197,.433,-0.43,"Nov 16, 1998","May 8, 2021","Maracay, Aragua",2/H
Mauricio Robles,1,2013,2013,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.01,"Mar 5, 1989","Sep 3, 2013","Valencia, Carabobo",/1
Brayan Rocchio,2,2023,2024,0,75,273,240,35,52,15,0,0,17,7,3,27,63,.217,.298,.279,.577,0.91,"Jan 13, 2001","May 16, 2023","Caracas, Distrito Federal",6/5H
Eduardo Rodríguez,8,2015,2023,0,13,29,26,1,0,0,0,0,0,0,0,0,13,.000,.000,.000,.000,17.70,"Apr 7, 1993","May 28, 2015","Valencia, Carabobo",1
Francisco Rodríguez,16,2002,2017,6,437,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,24.20,"Jan 7, 1982","Sep 18, 2002","Caracas, Distrito Federal",*1
Guilder Rodríguez,1,2014,2014,0,7,14,12,2,2,0,0,0,1,0,0,1,5,.167,.231,.167,.397,-0.12,"Jul 24, 1983","Sep 9, 2014","Barquisimeto, Lara",/5H4D6
Guillermo Rodríguez,2,2007,2009,0,46,105,92,11,22,6,0,1,15,0,1,12,18,.239,.324,.337,.661,-0.09,"May 15, 1978","Jun 13, 2007","Barquisimeto, Lara",2/HD
Henry Rodríguez,2,2012,2013,0,21,26,23,0,4,1,0,0,2,0,0,3,6,.174,.269,.217,.487,-0.15,"Feb 9, 1990","Sep 2, 2012","Maracay, Aragua",/H4
Henry Rodríguez,6,2009,2014,0,113,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-0.71,"Feb 25, 1987","Sep 21, 2009","Santa Barbara, Zulia",1
José Rodríguez,3,2019,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.63,"Aug 29, 1995","Jul 27, 2019","Ciudad Bolivar, Bolivar",/1
Liu Rodríguez,1,1999,1999,0,39,111,93,8,22,2,2,1,12,0,0,12,11,.237,.343,.333,.676,-0.63,"Nov 5, 1976","Jun 9, 1999","Caracas, Distrito Federal",/46HD5
Luis Rodríguez,6,2005,2011,0,407,1123,972,100,231,46,4,10,80,6,5,110,110,.238,.314,.324,.638,0.64,"Jun 27, 1980","May 21, 2005","San Carlos, Cojedes",645H/D3
Nivaldo Rodriguez,2,2020,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.09,"Apr 16, 1997","Jul 28, 2020","Naguanagua, Carabobo",/1
Ricardo Rodríguez,2,2017,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.03,"Aug 31, 1992","Aug 14, 2017","Maracay, Aragua",/1
Roberto Rodríguez,2,1967,1970,0,57,22,21,2,1,0,0,1,1,0,0,1,4,.048,.091,.190,.281,-1.07,"Feb 5, 1941","May 13, 1967","Caracas, Distrito Federal",1
Wilfredo Rodríguez,1,2001,2001,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.14,"Mar 20, 1979","Sep 21, 2001","Ciudad Bolivar, Bolivar",/1
Wilking Rodríguez,1,2014,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.08,"Mar 2, 1990","Jun 3, 2014","Puerto Cabello, Carabobo",/1
Yorman Rodríguez,1,2014,2014,0,11,29,27,3,6,0,0,0,2,0,1,1,12,.222,.276,.222,.498,-0.19,"Aug 15, 1992","Sep 4, 2014","Ocumare de la Costa, Aragua",/9H87
Miguel Rojas,11,2014,2024,0,1115,3603,3294,370,849,163,11,46,310,56,21,228,443,.258,.311,.356,.667,14.98,"Feb 24, 1989","Jun 6, 2014","Los Teques, Miranda",*6H354/1D7
Alex Romero,2,2008,2009,0,144,299,280,27,67,14,4,2,30,6,0,14,43,.239,.279,.339,.619,-0.61,"Sep 9, 1983","Apr 2, 2008","Maracaibo, Zulia",H97/8
Niuman Romero,2,2009,2010,0,12,19,18,3,2,0,0,0,0,0,0,1,5,.111,.158,.111,.269,-0.17,"Jan 24, 1985","Sep 8, 2009","Barcelona, Anzoategui",/H6D345
Bruce Rondón,5,2013,2018,0,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-1.50,"Dec 9, 1990","Apr 25, 2013","Valencia, Carabobo",1
Héctor Rondón,8,2013,2020,0,298,3,3,0,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,4.91,"Feb 26, 1988","Apr 3, 2013","Guatire, Miranda",*1
Jorge Rondon,3,2014,2016,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.96,"Feb 16, 1988","Jun 29, 2014","Calabozo, Guarico",/1
José Rondón,4,2016,2021,0,169,380,348,39,75,12,0,12,33,4,1,27,89,.216,.274,.353,.628,-0.85,"Mar 3, 1994","Jul 29, 2016","Villa de Cura, Aragua",H6/54D9731
José Ruiz,8,2017,2024,0,10,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1.18,"Oct 21, 1994","Jul 24, 2017","Guacara, Carabobo",1
Keibert Ruiz,5,2020,2024,0,321,1257,1162,113,291,53,0,32,132,8,3,71,143,.250,.303,.379,.681,2.80,"Jul 20, 1998","Aug 16, 2020","Valencia, Carabobo",2/HD
Angel Salazar,5,1983,1988,0,383,932,886,69,188,33,6,2,59,6,6,19,150,.212,.230,.270,.500,-0.74,"Nov 4, 1961","Aug 10, 1983","Anaco, Anzoategui",*6/H45
Eduardo Salazar,2,2023,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.13,"May 5, 1998","May 24, 2023","Cumana, Sucre",/1
Luis Salazar,13,1980,1992,0,1302,4375,4101,438,1070,144,33,94,455,117,51,179,653,.261,.293,.381,.673,8.99,"May 19, 1956","Aug 15, 1980","Barcelona, Anzoategui",*5H7689/3D41
Oscar Salazar,4,2002,2010,0,199,419,372,50,100,16,2,14,62,1,3,43,58,.269,.342,.435,.778,0.33,"Jun 27, 1978","Apr 10, 2002","Maracay, Aragua",H7/3459D6
Carlos Sanabria,1,2020,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.04,"Jan 24, 1997","Aug 5, 2020","La Victoria, Aragua",/1
Adrián Sánchez,4,2017,2021,0,106,204,195,22,51,11,1,0,16,0,2,6,47,.262,.287,.328,.615,0.32,"Aug 16, 1990","Jun 30, 2017","Maracaibo, Zulia",H4/56379
Ali Sánchez,2,2020,2021,0,7,14,13,0,3,2,0,0,0,0,0,1,3,.231,.286,.385,.670,-0.07,"Jan 20, 1997","Aug 10, 2020","Carora, Lara",/2
Aníbal Sánchez,16,2006,2022,0,189,400,346,8,29,1,1,0,8,0,0,17,169,.084,.127,.092,.219,27.96,"Feb 27, 1984","Jun 25, 2006","Maracay, Aragua",*1/H
Eduardo Sánchez,3,2011,2013,0,44,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0.60,"Feb 16, 1989","Apr 13, 2011","Maracay, Aragua",1
Héctor Sánchez,7,2011,2017,0,347,834,783,60,186,38,0,21,120,0,1,34,207,.238,.273,.367,.639,0.02,"Nov 17, 1989","Jul 15, 2011","Maracay, Aragua",2H/3D
Luis Sánchez,5,1981,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3.88,"Aug 24, 1953","Apr 10, 1981","Cariaco, Sucre",1
Ricardo Sanchez,1,2020,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.11,"Apr 11, 1997","Aug 17, 2020","Puerto Cabello, Carabobo",/1
Rómulo Sánchez,3,2007,2010,0,26,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0.32,"Apr 28, 1984","Aug 26, 2007","Carora, Lara",/1
Yolmer Sanchez,8,2014,2022,0,674,2503,2276,253,552,113,24,32,217,30,25,165,532,.243,.299,.355,.654,6.32,"Jun 29, 1992","Jul 13, 2014","Maracay, Aragua",*45H/6D19
Danny Sandoval,2,2005,2006,0,31,45,40,2,8,1,0,0,4,0,0,4,4,.200,.267,.225,.492,-0.25,"Apr 7, 1979","Jul 17, 2005","Barquisimeto, Lara",/H46
Pablo Sandoval,14,2008,2021,2,1380,5052,4609,548,1279,262,21,153,639,12,13,357,757,.278,.330,.443,.773,19.06,"Aug 11, 1986","Aug 14, 2008","Puerto Cabello, Carabobo",*5H3D/241
Johan Santana,12,2000,2012,4,117,279,248,11,40,12,1,1,9,0,0,9,78,.161,.191,.230,.421,51.68,"Mar 13, 1979","Apr 3, 2000","Tovar, Merida",*1
Anthony Santander,8,2017,2024,0,647,2684,2444,324,602,142,5,123,368,8,7,186,558,.246,.306,.459,.766,9.21,"Oct 19, 1994","Aug 18, 2017","Margarita, Nueva Esparta",*9D7/8H3
